politician,politicianDescription,image,politicianLabel,date_of_birth
http://www.wikidata.org/entity/Q3311135,French politician,http://commons.wikimedia.org/wiki/Special:FilePath/2013-09-17%2021-17-14-meeting-nouveau-souffle-pour-belfort.jpg,Michel Zumkeller,1966-01-21T00:00:00Z
http://www.wikidata.org/entity/Q3311387,French politician,http://commons.wikimedia.org/wiki/Special:FilePath/Micheline%20Spoerri.jpg,Micheline Spoerri,1946-01-11T00:00:00Z
http://www.wikidata.org/entity/Q3311436,French politician,http://commons.wikimedia.org/wiki/Special:FilePath/Michelle%20Meunier%2C%20s%C3%A9natrice%20de%20Loire-Atlantique.jpg,Michelle Meunier,1956-01-24T00:00:00Z
http://www.wikidata.org/entity/Q3311582,French politician,http://commons.wikimedia.org/wiki/Special:FilePath/Mich%C3%A8le%20Bonneton%20-%20avril%202012.jpg,Michèle Bonneton,1947-07-15T00:00:00Z
http://www.wikidata.org/entity/Q3315972,French politician,http://commons.wikimedia.org/wiki/Special:FilePath/Mireille%20Ferri.jpg,Mireille Ferri,1959-05-22T00:00:00Z
http://www.wikidata.org/entity/Q3320904,French politician,http://commons.wikimedia.org/wiki/Special:FilePath/Monique-Orph%C3%A9-1-2512.JPG,Monique Orphé,1964-10-15T00:00:00Z
http://www.wikidata.org/entity/Q3320916,French politician,http://commons.wikimedia.org/wiki/Special:FilePath/Monique%20Rabin.jpg,Monique Rabin,1954-07-02T00:00:00Z
http://www.wikidata.org/entity/Q3326095,French politician,http://commons.wikimedia.org/wiki/Special:FilePath/Bayrou%20Bercy%202007-04-18%20n34.jpg,Mourad Ghazli,1974-05-17T00:00:00Z
http://www.wikidata.org/entity/Q3331532,French politician,http://commons.wikimedia.org/wiki/Special:FilePath/Myriam%20Martin.jpg,Myriam Martin,1968-03-17T00:00:00Z
http://www.wikidata.org/entity/Q3332699,French deputy,http://commons.wikimedia.org/wiki/Special:FilePath/OlivierVeran.jpeg,Olivier Véran,1980-04-22T00:00:00Z
http://www.wikidata.org/entity/Q3334944,French politician,http://commons.wikimedia.org/wiki/Special:FilePath/Nadine%20Morano%202012.JPG,Nadine Morano,1963-11-06T00:00:00Z
